,id,x,y,r
0,0,231.2662999999557,120.18129999978557,11.131325951707169
1,1,371.85889999927895,238.20759999960865,11.634566946964483
2,2,757.0288999984987,350.506300000332,15.115730953844508
3,3,190.93999999955489,140.16129999981786,13.697470189190366
4,4,663.1339999998963,522.3009999999049,14.227240684554438
5,5,681.0049999989442,674.8039000003882,10.71473391053429
6,6,698.1988999987552,561.4063000002352,15.024171699730882
7,7,577.9525999998023,458.54260000014256,18.625591902208317
8,8,210.1762999995717,808.5589000002547,11.549435496724628
9,9,275.1112999996767,157.36629999975776,13.187676780422905
10,10,60.73699999860765,468.4660000001677,14.593377953029425
11,11,306.55759999883594,214.15390000008483,11.578474197131118
12,12,703.9375999987788,601.3663000002998,16.53459281079727
13,13,265.67629999983546,931.4026000003796,19.468596417269893
14,14,567.2188999997707,798.5800000003692,19.311632084571546
15,15,622.3525999996982,57.83259999993243,15.604424500220162
16,16,562.0129999996643,591.675999999843,14.25127063303474
17,17,710.9638999996514,663.7039000000223,18.30534466317217
18,18,18.87889999923391,645.3888999997289,11.101251047468825
19,19,550.568899999218,70.96390000037718,17.21257652836035
20,20,636.0388999995303,280.5763000002189,15.046036349889755
21,21,670.0825999990739,296.3050000002586,13.404564500404534
22,22,489.896300000024,229.69390000028216,14.251287071305384
23,23,43.12129999860008,25.64259999996648,10.74364025196252
24,24,314.7049999994033,219.8926000001084,19.18552115892996
25,25,724.838899999324,592.1089000001703,16.487322046907074
26,26,584.0575999985849,283.16259999968315,15.32874795723266
27,27,197.96629999885045,793.9512999999097,17.924715934928884
28,28,544.6969999992143,624.643000000211,17.843454898994462
29,29,95.29129999938596,201.02259999963644,14.426955145437208
30,30,790.1512999991064,350.6950000001707,17.685797399093843
31,31,695.8012999991297,563.6263000001491,15.854720138711436
32,32,48.84889999928237,655.93389999992,18.195739172559264
33,33,614.9599999984875,272.80630000012025,14.563894444952606
34,34,600.5188999992988,64.12630000013087,13.944897075333264
35,35,636.3829999996087,411.634000000111,15.426989622174595
36,36,381.1162999986209,451.7049999998962,15.43325940304411
37,37,730.0225999991708,515.7076000001471,15.655236551100485
38,38,775.3438999995815,571.9512999996368,13.858718818013994
39,39,619.9438999991544,277.05760000011287,12.542139148345456
40,40,31.08889999995517,662.9713000001357,11.695266533780934
41,41,59.39389999947525,357.89889999996376,14.724459377685676
42,42,697.2109999990407,401.53300000037416,16.269813811736764
43,43,48.67129999878489,356.42260000006354,19.985931268440847
44,44,732.1759999990973,485.005000000212,17.388677511355638
45,45,328.20259999939844,109.825000000219,10.783897214864936
46,46,178.71889999949235,213.61000000003696,10.97868425491862
47,47,467.5075999994479,223.58889999992243,18.926108712391464
48,48,368.717599999638,801.3549999996721,10.184358008258432
49,49,427.0369999997256,65.31399999981295,12.117118289339164
50,50,446.0512999987259,193.8075999997127,10.008789765944192
51,51,718.922599998803,693.3075999997345,17.912043035547477
52,52,767.5738999986916,295.0063000000664,10.567183220696416
53,53,69.76129999916884,629.1162999996413,19.09894419763881
54,54,141.98899999852802,394.0960000002233,18.964594237971944
55,55,385.9225999987903,120.9138999996685,14.084561030344547
56,56,787.7425999985626,692.0089000003318,11.040729450161248
57,57,624.394999999904,762.2829999997339,16.790296237807556
58,58,33.87499999859938,847.5975999998082,17.343350867705123
59,59,67.16389999878629,274.4712999998592,14.519467565331272
0,60,50.0,600.0,14.344194007153064
1,61,70.0,400.0,11.048730447610005
2,62,60.0,300.0,15.774780433858671
3,63,190.0,215.0,14.490471884463112
4,64,335.0,205.0,19.158385390899365
5,65,330.0,115.0,13.71052047637364
6,66,515.0,280.0,11.763853448354572
7,67,600.0,290.0,10.56582224808635
8,68,750.0,290.0,17.543137071109655
9,69,720.0,650.0,14.220362743331588
10,70,610.0,790.0,11.787810685368585
11,71,300.0,800.0,17.69569208991024
12,72,610.0,60.0,11.054170529614593
13,73,507.0,73.0,16.54609481438164
14,74,100.0,910.0,14.156559376309023
15,75,140.0,110.0,14.488517672913272
